strategy,space,clinical_component,w_clinical,w_cxr,role,val_auroc,val_auprc,val_brier,val_ece
weighted_average_logit,logit,xgb,0.1,0.9,secondary,0.878643,0.573169,0.09294,0.084587
weighted_average_logit,logit,xgb,0.15,0.85,secondary,0.883943,0.582403,0.09112,0.075503
weighted_average_logit,logit,xgb,0.2,0.8,secondary,0.886063,0.574565,0.089256,0.081563
weighted_average_logit,logit,xgb,0.25,0.75,secondary,0.889772,0.579891,0.087331,0.068965
weighted_average_logit,logit,xgb,0.3,0.7,secondary,0.895072,0.591198,0.085317,0.067581
weighted_average_logit,logit,xgb,0.35,0.65,secondary,0.899311,0.601457,0.083176,0.066271
weighted_average_logit,logit,xgb,0.4,0.6,secondary,0.90514,0.617061,0.080887,0.060506
weighted_average_logit,logit,xgb,0.45,0.55,secondary,0.90567,0.628194,0.07848,0.054231
weighted_average_logit,logit,xgb,0.5,0.5,secondary,0.90991,0.637967,0.076089,0.061601
weighted_average_logit,logit,xgb,0.55,0.45,secondary,0.91309,0.643896,0.073953,0.053495
weighted_average_logit,logit,xgb,0.6,0.4,secondary,0.91362,0.657816,0.07233,0.0629
weighted_average_logit,logit,xgb,0.65,0.35,secondary,0.915209,0.6695,0.071386,0.054403
weighted_average_logit,logit,xgb,0.7,0.3,secondary,0.917859,0.704761,0.071173,0.045431
weighted_average_logit,logit,xgb,0.75,0.25,secondary,0.916799,0.704771,0.0717,0.044222
weighted_average_logit,logit,xgb,0.8,0.2,secondary,0.915739,0.677951,0.072994,0.059736
weighted_average_logit,logit,xgb,0.85,0.15,secondary,0.90832,0.655812,0.0751,0.044784
weighted_average_logit,logit,xgb,0.9,0.1,secondary,0.901961,0.631913,0.078033,0.069162
weighted_average_logit,logit,xgb,0.95,0.05,secondary,0.891892,0.590013,0.081698,0.065948
weighted_average_logit,logit,xgb,1.0,0.0,secondary,0.880763,0.549404,0.085876,0.05865
weighted_average_probability,probability,mlp,0.0,1.0,secondary,0.871754,0.562283,0.096479,0.085898
weighted_average_probability,probability,mlp,0.05,0.95,secondary,0.882883,0.573305,0.0927,0.072974
weighted_average_probability,probability,mlp,0.1,0.9,secondary,0.883413,0.592667,0.089699,0.047138
weighted_average_probability,probability,mlp,0.15,0.85,secondary,0.886063,0.620344,0.087476,0.068824
weighted_average_probability,probability,mlp,0.2,0.8,secondary,0.885533,0.639575,0.08603,0.067081
weighted_average_probability,probability,mlp,0.25,0.75,secondary,0.885003,0.636464,0.085361,0.10922
weighted_average_probability,probability,mlp,0.3,0.7,secondary,0.885003,0.639429,0.08547,0.108069
weighted_average_probability,probability,mlp,0.35,0.65,secondary,0.883413,0.639028,0.086355,0.122424
weighted_average_probability,probability,mlp,0.4,0.6,secondary,0.882353,0.649373,0.088019,0.122894
weighted_average_probability,probability,mlp,0.45,0.55,secondary,0.882353,0.657107,0.090459,0.145537
weighted_average_probability,probability,mlp,0.5,0.5,secondary,0.885003,0.654286,0.093677,0.150633
weighted_average_probability,probability,mlp,0.55,0.45,secondary,0.885533,0.656938,0.097673,0.162769
weighted_average_probability,probability,mlp,0.6,0.4,secondary,0.884473,0.658623,0.102446,0.179934
weighted_average_probability,probability,mlp,0.65,0.35,secondary,0.887122,0.676364,0.107996,0.198582
weighted_average_probability,probability,mlp,0.7,0.3,secondary,0.887122,0.68685,0.114323,0.214987
weighted_average_probability,probability,mlp,0.75,0.25,secondary,0.890302,0.709221,0.121428,0.231392
weighted_average_probability,probability,mlp,0.8,0.2,secondary,0.889242,0.709539,0.12931,0.247383
weighted_average_probability,probability,mlp,0.85,0.15,secondary,0.888182,0.701548,0.13797,0.256922
weighted_average_probability,probability,mlp,0.9,0.1,secondary,0.882353,0.683256,0.147407,0.271506
weighted_average_probability,probability,mlp,0.95,0.05,secondary,0.872814,0.667431,0.157621,0.289585
weighted_average_probability,probability,mlp,1.0,0.0,secondary,0.864865,0.647555,0.168613,0.296113
weighted_average_logit,logit,mlp,0.0,1.0,secondary,0.871754,0.562283,0.096479,0.085898
weighted_average_logit,logit,mlp,0.05,0.95,secondary,0.874404,0.570653,0.095442,0.087735
weighted_average_logit,logit,mlp,0.1,0.9,secondary,0.878113,0.568625,0.094319,0.078337
weighted_average_logit,logit,mlp,0.15,0.85,secondary,0.878643,0.571139,0.093098,0.074927
weighted_average_logit,logit,mlp,0.2,0.8,secondary,0.880763,0.573037,0.091765,0.073316
weighted_average_logit,logit,mlp,0.25,0.75,secondary,0.883943,0.577919,0.090307,0.07591
weighted_average_logit,logit,mlp,0.3,0.7,secondary,0.887122,0.587504,0.088718,0.080876
weighted_average_logit,logit,mlp,0.35,0.65,secondary,0.889772,0.588575,0.087,0.0831
weighted_average_logit,logit,mlp,0.4,0.6,secondary,0.893482,0.593723,0.085177,0.044846
weighted_average_logit,logit,mlp,0.45,0.55,secondary,0.897721,0.61042,0.083303,0.029068
weighted_average_logit,logit,mlp,0.5,0.5,secondary,0.899841,0.617178,0.081487,0.038528
weighted_average_logit,logit,mlp,0.55,0.45,secondary,0.90514,0.626843,0.079911,0.047528
weighted_average_logit,logit,mlp,0.6,0.4,secondary,0.9115,0.645704,0.078852,0.076677
weighted_average_logit,logit,mlp,0.65,0.35,secondary,0.914149,0.670007,0.078695,0.079072
weighted_average_logit,logit,mlp,0.7,0.3,secondary,0.917329,0.687025,0.079952,0.103257
weighted_average_logit,logit,mlp,0.75,0.25,secondary,0.916269,0.698903,0.083278,0.113305
weighted_average_logit,logit,mlp,0.8,0.2,secondary,0.915209,0.727534,0.089505,0.147811
weighted_average_logit,logit,mlp,0.85,0.15,secondary,0.914679,0.738814,0.099703,0.188118
weighted_average_logit,logit,mlp,0.9,0.1,secondary,0.90779,0.728596,0.115226,0.21315
weighted_average_logit,logit,mlp,0.95,0.05,secondary,0.892952,0.693823,0.137677,0.257739
weighted_average_logit,logit,mlp,1.0,0.0,secondary,0.864865,0.647555,0.168613,0.296113
