stage,condition,subsample,colsample_bytree,scale_pos_weight,reg_lambda,max_depth,learning_rate,min_child_weight,cv_mean_auroc,cv_sd_auroc,cv_mean_auprc,val_auroc,val_auprc,seconds
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.05_min_child_weight=1,0.8,0.8,1.0,1.0,3,0.05,1,0.87214,0.037545,0.554047,0.877583,0.556471,7.8
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=1.0_scale_pos_weight=6.562962962962963_reg_lambda=1.0,0.8,1.0,6.562962962962963,1.0,3,0.03,10,0.871196,0.041516,0.547261,0.855856,0.534266,8.0
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=0.8_scale_pos_weight=6.562962962962963_reg_lambda=10.0,1.0,0.8,6.562962962962963,10.0,3,0.03,10,0.870118,0.045353,0.543627,0.866985,0.570648,7.4
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=0.8_scale_pos_weight=6.562962962962963_reg_lambda=1.0,1.0,0.8,6.562962962962963,1.0,3,0.03,10,0.866804,0.045102,0.543747,0.868574,0.561651,7.4
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.1_min_child_weight=5,0.8,0.8,1.0,1.0,2,0.1,5,0.866659,0.039602,0.54465,0.865925,0.505003,7.1
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=1.0_scale_pos_weight=6.562962962962963_reg_lambda=10.0,1.0,1.0,6.562962962962963,10.0,3,0.03,10,0.865726,0.044082,0.541487,0.856386,0.570749,7.6
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.1_min_child_weight=1,0.8,0.8,1.0,1.0,2,0.1,1,0.86513,0.039493,0.541646,0.869634,0.547597,7.3
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.1_min_child_weight=1,0.8,0.8,1.0,1.0,3,0.1,1,0.864187,0.039144,0.540221,0.879173,0.54446,7.9
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.1_min_child_weight=5,0.8,0.8,1.0,1.0,3,0.1,5,0.864172,0.037161,0.545595,0.872284,0.524801,7.4
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=1.0_scale_pos_weight=6.562962962962963_reg_lambda=1.0,1.0,1.0,6.562962962962963,1.0,3,0.03,10,0.863523,0.043076,0.534291,0.857446,0.553226,7.7
