stage,condition,subsample,colsample_bytree,scale_pos_weight,reg_lambda,max_depth,learning_rate,min_child_weight,cv_mean_auroc,cv_sd_auroc,cv_mean_auprc,val_auroc,val_auprc,seconds
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.05_min_child_weight=1,0.8,0.8,1.0,1.0,3,0.05,1,0.869907,0.037764,0.547184,0.872284,0.539858,7.7
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.1_min_child_weight=1,0.8,0.8,1.0,1.0,2,0.1,1,0.86705,0.037918,0.543218,0.877054,0.560255,7.3
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=0.8_colsample_bytree=1.0_scale_pos_weight=6.562962962962963_reg_lambda=1.0,0.8,1.0,6.562962962962963,1.0,3,0.03,10,0.866902,0.043815,0.531812,0.873874,0.502424,7.4
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=2_learning_rate=0.1_min_child_weight=5,0.8,0.8,1.0,1.0,2,0.1,5,0.866155,0.038834,0.521788,0.862215,0.480352,7.1
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.1_min_child_weight=5,0.8,0.8,1.0,1.0,3,0.1,5,0.866131,0.03477,0.525928,0.845787,0.451495,7.3
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=0.8_scale_pos_weight=6.562962962962963_reg_lambda=10.0,1.0,0.8,6.562962962962963,10.0,3,0.03,10,0.865638,0.042774,0.536139,0.868045,0.500292,7.2
1,subsample=0.8_colsample_bytree=0.8_scale_pos_weight=1.0_reg_lambda=1.0_max_depth=3_learning_rate=0.1_min_child_weight=1,0.8,0.8,1.0,1.0,3,0.1,1,0.864232,0.034151,0.533034,0.849497,0.51386,7.5
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=1.0_scale_pos_weight=6.562962962962963_reg_lambda=10.0,1.0,1.0,6.562962962962963,10.0,3,0.03,10,0.863075,0.044626,0.536833,0.867515,0.476948,8.5
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=0.8_scale_pos_weight=6.562962962962963_reg_lambda=1.0,1.0,0.8,6.562962962962963,1.0,3,0.03,10,0.862923,0.043313,0.532533,0.874934,0.504328,7.1
2,max_depth=3_learning_rate=0.03_min_child_weight=10_subsample=1.0_colsample_bytree=1.0_scale_pos_weight=6.562962962962963_reg_lambda=1.0,1.0,1.0,6.562962962962963,1.0,3,0.03,10,0.860513,0.043538,0.529706,0.877583,0.484533,7.2
