family,family_name,model_1,model_1_label,model_2,model_2_label,n,events,AUC_1,AUC_2,delta_AUC,standard_error,variance,z,p_unadjusted,p_holm_within_family,ci95_low,ci95_high,significant_at_0.05_after_holm,note,interpretation
A,A_late_fusion_vs_clinical_models,late_fusion,Late Fusion (Task C primary),clinical_lr,Clinical LR,128,17,0.944886,0.946476,-0.00159,0.00543,2.949e-05,-0.292761,0.769705209570305,0.769705209570305,-0.012233,0.009054,False,,Late Fusion (Task C primary) minus Clinical LR = -0.0016 (95% CI -0.0122 to +0.0091); Holm-adjusted p = 0.7697 within family A. The difference is not statistically significant after Holm correction. This is not evidence of equivalence: with 17 events the confidence interval is wide and includes differences that would matter clinically.
A,A_late_fusion_vs_clinical_models,late_fusion,Late Fusion (Task C primary),clinical_xgboost,Clinical XGBoost,128,17,0.944886,0.928988,0.015898,0.013163,0.00017327,1.207792,0.22712714873268824,0.5397852089484716,-0.009901,0.041697,False,,Late Fusion (Task C primary) minus Clinical XGBoost = +0.0159 (95% CI -0.0099 to +0.0417); Holm-adjusted p = 0.5398 within family A. The difference is not statistically significant after Holm correction. This is not evidence of equivalence: with 17 events the confidence interval is wide and includes differences that would matter clinically.
A,A_late_fusion_vs_clinical_models,late_fusion,Late Fusion (Task C primary),clinical_mlp,Clinical MLP,128,17,0.944886,0.924218,0.020668,0.015412,0.00023754,1.340976,0.17992840298282387,0.5397852089484716,-0.00954,0.050876,False,,Late Fusion (Task C primary) minus Clinical MLP = +0.0207 (95% CI -0.0095 to +0.0509); Holm-adjusted p = 0.5398 within family A. The difference is not statistically significant after Holm correction. This is not evidence of equivalence: with 17 events the confidence interval is wide and includes differences that would matter clinically.
B,B_late_fusion_vs_reference_models,late_fusion,Late Fusion (Task C primary),clinical_lr,Clinical LR,128,17,0.944886,0.946476,-0.00159,0.00543,2.949e-05,-0.292761,0.769705209570305,0.769705209570305,-0.012233,0.009054,False,,Late Fusion (Task C primary) minus Clinical LR = -0.0016 (95% CI -0.0122 to +0.0091); Holm-adjusted p = 0.7697 within family B. The difference is not statistically significant after Holm correction. This is not evidence of equivalence: with 17 events the confidence interval is wide and includes differences that would matter clinically.
B,B_late_fusion_vs_reference_models,late_fusion,Late Fusion (Task C primary),cxr,CXR ResNet18,128,17,0.944886,0.834658,0.110228,0.035803,0.00128185,3.078736,0.0020788075834656805,0.004157615166931361,0.040055,0.1804,True,,Late Fusion (Task C primary) minus CXR ResNet18 = +0.1102 (95% CI +0.0401 to +0.1804); Holm-adjusted p = 0.0042 within family B. The difference is statistically significant at the 0.05 level after Holm correction.
