pipeline,split,metric,value,source
AI-Agent,test,npv,0.9625,AI-Agent frozen Task A result: results/taskA/evaluation/test_metrics_primary.json
AI-Agent,test,accuracy,0.7109375,AI-Agent frozen Task A result: results/taskA/evaluation/test_metrics_primary.json
AI-Agent,test,tp,14.0,AI-Agent frozen Task A result: results/taskA/evaluation/test_metrics_primary.json
AI-Agent,test,fp,34.0,AI-Agent frozen Task A result: results/taskA/evaluation/test_metrics_primary.json
AI-Agent,test,tn,77.0,AI-Agent frozen Task A result: results/taskA/evaluation/test_metrics_primary.json
AI-Agent,test,fn,3.0,AI-Agent frozen Task A result: results/taskA/evaluation/test_metrics_primary.json
Human-guided,test,harmonized_ece_10_equal_width,0.152335665828125,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
Human-guided,test,harmonized_ece_5_equal_count,0.14260261567187496,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
Human-guided,test,harmonized_ci_low_10000_seed42,0.8357180710121888,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
Human-guided,test,harmonized_ci_high_10000_seed42,0.9629040805511394,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
Human-guided,test,harmonized_ci_low_2000_seed12345,0.8409644939056704,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
Human-guided,test,harmonized_ci_high_2000_seed12345,0.9645071542130366,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
Human-guided,test,recomputed_roc_auc,0.9072602013778485,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
AI-Agent,test,harmonized_ece_10_equal_width,0.09722679070522267,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
AI-Agent,test,harmonized_ece_5_equal_count,0.051146887296339864,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
AI-Agent,test,harmonized_ci_low_10000_seed42,0.730259671436142,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
AI-Agent,test,harmonized_ci_high_10000_seed42,0.9236883942766295,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
AI-Agent,test,harmonized_ci_low_2000_seed12345,0.7344727080021197,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
AI-Agent,test,harmonized_ci_high_2000_seed12345,0.9231717011128775,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
AI-Agent,test,recomputed_roc_auc,0.8346581875993642,Harmonized recomputation from the saved patient-level Test predictions: results/taskA/comparison/harmonized_ece_ci.csv
