pipeline,n,events,auroc_recomputed,auprc_recomputed,brier_recomputed,ece_10_equal_width,ece_5_equal_count,ci_low_human_setting_10000_seed42,ci_high_human_setting_10000_seed42,ci_low_agent_setting_2000_seed12345,ci_high_agent_setting_2000_seed12345
Human-guided,128,17,0.9072602013778485,0.6229264898057557,0.10173175132456788,0.152335665828125,0.14260261567187496,0.8357180710121888,0.9629040805511394,0.8409644939056704,0.9645071542130366
AI-Agent,128,17,0.8346581875993642,0.4575616003173064,0.10580814844364783,0.09722679070522267,0.051146887296339864,0.730259671436142,0.9236883942766295,0.7344727080021197,0.9231717011128775
